x_position_nm,y_position_nm,N_Bonds
1.52289538161948e-07,-7.06523761589393e-08,0
-4.26880774609952e-08,-4.00032176567376e-08,0
8.56312119883927e-08,-3.8782433970069e-08,0
8.36621327203877e-09,-1.26623531128399e-08,0
-5.11016132768155e-08,-1.63190258240077e-07,0
-1.32595961596182e-07,1.39423194198202e-07,0
-1.81298191076111e-07,2.17253567913568e-07,0
-2.27267526132025e-07,2.1836029721986e-07,0
-1.00493152754232e-07,1.03151270382947e-07,0
-9.18256978003703e-08,1.31699068860701e-07,0
-5.29254596195536e-08,3.3788292379314e-08,0
9.28762669588058e-08,-1.75129837931606e-08,0
-4.39248078243296e-09,3.02620719721514e-08,0
1.58177373965004e-07,9.43880642029379e-08,0
2.29336631533464e-07,1.44404761330656e-07,0
2.93681150312253e-07,7.38804430783088e-09,0
2.01239194534611e-07,-7.56555183977797e-08,0
2.91429141487987e-07,-1.77955681696726e-07,0
2.64942150047669e-07,-2.28364770451936e-07,0
4.41833753597524e-07,-2.35341558046265e-07,0
5.40362612199388e-07,-5.00010064905823e-08,0
5.63113533643043e-07,-5.7534111691348e-08,0
7.57345766195726e-07,-1.37732480265545e-07,0
5.69843516466843e-07,-9.91759628535286e-08,0
7.92095507631147e-07,-1.71201067055566e-07,0
8.62139772435686e-07,-2.29428618577897e-07,0
1.04010583848079e-06,-2.82330302121017e-07,0
1.03340675859856e-06,-1.96110049203039e-07,0
9.2399561583621e-07,-1.765086027472e-07,0
9.43988191321261e-07,-1.93499314416753e-07,0
1.0075705298812e-06,-1.54223616910843e-07,0
1.00959831117985e-06,-1.83933853157729e-07,0
9.16424204666835e-07,-1.78999245439624e-07,0
1.03863705942664e-06,-3.65409063750339e-07,0
9.63631783610735e-07,-4.35660930105004e-07,0
8.56675593944873e-07,-3.16620414898381e-07,0
8.32671866128867e-07,-3.73513763278966e-07,0
7.31595711692921e-07,-4.76046431170265e-07,0
6.71279258689495e-07,-4.47572693067224e-07,0
5.51963928644473e-07,-2.82782047634525e-07,0
4.1511910452206e-07,-3.32139054306072e-07,0
4.36675538410218e-07,-4.13280472158046e-07,0
3.73771008189122e-07,-5.20897226228897e-07,0
3.38843985879532e-07,-2.93479094948367e-07,0
3.24271295063754e-07,-4.02395799082778e-07,0
4.12626946747284e-07,-6.65868984472245e-07,0
3.21053687521398e-07,-9.30359527265242e-07,0
2.43592248626462e-07,-7.71521470865012e-07,0
3.99055524705065e-07,-6.18353051301044e-07,0
6.01179712272512e-07,-6.40790682195867e-07,0
7.27418806114119e-07,-8.55920197012088e-07,0
7.53623106041491e-07,-7.73691299133096e-07,0
6.53029275351148e-07,-7.88225785277693e-07,0
7.25922582698355e-07,-6.94861623996879e-07,0
5.29445835075075e-07,-7.86017143016643e-07,0
3.30978484655803e-07,-8.09453184663041e-07,0
2.92293966930013e-07,-7.93480281458685e-07,0
-3.91574726948043e-08,-6.86553136244943e-07,0
-1.51177491764665e-07,-7.37120203026762e-07,0
-2.0398577978326e-07,-8.4059415949196e-07,0
-3.28625144304426e-07,-7.95937503838312e-07,0
-3.44390976734591e-07,-7.3389992395343e-07,0
-2.54693667818953e-07,-7.13998612999028e-07,0
-2.37651580397682e-07,-5.90235682709315e-07,0
-2.67269671031018e-07,-5.99631319733494e-07,0
-2.03307493376998e-07,-6.53247689855285e-07,0
-1.97643642810314e-07,-6.97132799386616e-07,0
-3.41790896096721e-07,-6.48508090139449e-07,0
-2.44225827482615e-07,-8.41472590645217e-07,0
-2.30630952599061e-07,-7.89725908555538e-07,0
-3.36794144526625e-07,-7.64473227433161e-07,0
-2.33377297897709e-07,-6.0241888635502e-07,0
-1.85723122771775e-07,-5.87121739356785e-07,0
-2.17333357813151e-07,-4.15490514490905e-07,0
-4.75181479685128e-08,-1.95545974466345e-07,0
-8.7655532060851e-08,-1.75981899963643e-07,0
-9.35283199937267e-08,-2.59990207633e-08,0
-1.3240008337267e-07,-1.84785686188819e-08,0
-1.47485003840323e-07,3.57910710648033e-08,0
-6.99477110320667e-09,7.57855282087437e-08,0
1.14098996051968e-07,1.59702244222318e-08,0
2.25039801834357e-07,-2.72596667375774e-07,0
1.83653540408782e-07,-4.45507186113267e-07,0
2.13253177787476e-07,-3.7717337549822e-07,0
3.76154736645561e-07,-3.43184584981328e-07,0
4.6303354101623e-07,-3.07099089038569e-07,0
6.12303861846568e-07,-3.21793578565614e-07,0
4.78621662510025e-07,-3.83330204940201e-07,0
5.17420903560404e-07,-3.32924127696863e-07,0
3.88899615895273e-07,-4.68384228135389e-07,0
4.4797064086698e-07,-4.6281029849458e-07,0
3.27977744951904e-07,-6.9634041011653e-07,0
3.25669444978727e-07,-8.08958506456272e-07,0
5.2913315561522e-07,-8.94729333802689e-07,0
5.02586760839816e-07,-7.06572851039721e-07,0
4.0633777628269e-07,-6.84640536992995e-07,0
3.8229888067849e-07,-8.3067780134666e-07,0
1.97303113343747e-07,-7.88128618302503e-07,0
1.5054763391581e-07,-7.45553621621203e-07,0
3.36144629982341e-08,-6.96200962094023e-07,0
2.52264370897461e-07,-8.0022308995129e-07,0
2.87308216653882e-07,-8.43787176556629e-07,0
2.37758077587484e-07,-8.8546870913163e-07,0
1.77087032754418e-07,-1.0346404511509e-06,0
2.93914879899533e-07,-1.09221118777792e-06,0
1.64868589616677e-07,-9.02231098882518e-07,0
1.00229792394009e-07,-9.62090733522361e-07,0
-4.27795890002451e-08,-8.07219536783673e-07,0
-3.28441915067064e-09,-6.89481749206264e-07,0
1.63399932115118e-07,-6.69683084468358e-07,0
2.25471069940772e-08,-6.13473360505222e-07,0
6.1526418456867e-08,-6.91422052972383e-07,0
-6.62344398837803e-08,-6.85713469011384e-07,0
-2.13925149738791e-09,-6.37394982739362e-07,0
1.56747095250266e-08,-6.31619197606559e-07,0
5.64998170603818e-08,-5.00899010078026e-07,0
1.42248140060643e-07,-2.62500842262843e-07,0
1.40599543002292e-07,-1.15855489070505e-07,0
1.21089461329765e-07,-1.75081375324701e-07,0
-2.70824503059188e-08,-1.50229611373667e-07,0
-1.37052175549248e-07,1.44728790469783e-08,0
7.67780156013877e-08,1.01382730084922e-07,0
9.16819388361689e-08,-1.10251279183203e-09,0
2.44286318173379e-08,5.01384563780945e-08,0
-8.22893542092113e-08,1.03815273196259e-07,0
-9.90757402360914e-09,-7.23843928963846e-08,0
7.89905699419364e-08,-9.79213194797077e-08,0
6.50971573538211e-08,-2.22783185277239e-07,0
2.61601227894392e-08,-1.12338023343452e-07,0
-2.91224523830813e-07,-1.16063263115894e-07,0
-4.27093274468937e-07,-7.83633521393549e-09,0
-1.987672444878e-07,-1.21630162871416e-08,0
-1.66569738620882e-07,1.18270916615389e-07,0
-4.14362506713661e-07,1.60050703339852e-07,0
-3.64957356418892e-07,7.80330092602313e-08,0
-3.26658118754475e-07,-2.07274927874395e-08,0
-3.67185231033522e-07,-9.55916531897651e-08,0
-4.24309121819761e-07,-3.7986951756564e-08,0
-5.61470916055664e-07,-6.66605747332605e-08,0
-7.50364356154154e-07,-7.98579288999017e-08,0
-9.71708572294818e-07,-7.73764200491831e-08,0
-1.10640719973014e-06,-2.53345485651654e-07,0
-9.11208486251414e-07,-1.46337462148132e-07,0
-8.35469633152464e-07,-2.38417263753361e-07,0
-7.15761819478263e-07,-1.23256307649022e-07,0
-7.90947577186525e-07,5.31423916615356e-08,0
-8.4518543118706e-07,3.86898048367735e-08,0
-7.86728842171208e-07,-7.3501292641866e-08,0
-8.33455304915457e-07,-8.53368040018174e-08,0
-7.41034765041659e-07,-1.02587419437887e-07,0
-8.00398665578171e-07,-3.29039546652186e-08,0
-7.01230542916218e-07,1.17668241984527e-07,0
-8.34664233376711e-07,1.495632273514e-07,0
-6.94707943516706e-07,1.09893627141981e-07,0
-5.68692229418288e-07,-2.89705063234257e-08,0
-5.80448194139521e-07,-1.49155920283163e-07,0
-3.72656388168859e-07,-2.48818134946697e-07,0
